,Arousal_VOICE,Area_size,Ceiling_height,Light_contrast,Light_levels,Light_temperature,Blocked_path,Empty_room,Hiding_place,Interior_arrangement,Triggers_present,Battery_present,Note_present,Event,Cutscene,Channel_id
0,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,AngelAlyx
1,1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,AngelAlyx
2,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,AngelAlyx
3,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
4,1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,AngelAlyx
5,1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,1,0,AngelAlyx
6,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,AngelAlyx
7,1.0,0,0,1,1,0,0,0,0,0,0,0,-1,0,1,AngelAlyx
8,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,AngelAlyx
9,1.0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,AngelAlyx
10,1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,AngelAlyx
11,1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,AngelAlyx
12,1.0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,AngelAlyx
13,1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,1,0,AngelAlyx
14,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,0,0,AngelAlyx
15,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,AngelAlyx
16,1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,AngelAlyx
17,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,AngelAlyx
18,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,AngelAlyx
19,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,AngelAlyx
20,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0,AngelAlyx
21,1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,AngelAlyx
22,1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,AngelAlyx
23,1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,AngelAlyx
24,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,1,0,AngelAlyx
25,1.0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,AngelAlyx
26,1.0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,AngelAlyx
27,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,1,0,AngelAlyx
28,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AngelAlyx
29,1.0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,AngelAlyx
30,1.0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,AngelAlyx
31,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AngelAlyx
32,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,AngelAlyx
33,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AngelAlyx
34,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,AngelAlyx
35,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AngelAlyx
36,1.0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,AngelAlyx
37,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,AngelAlyx
38,1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,AngelAlyx
39,1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,AngelAlyx
40,1.0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,AngelAlyx
41,1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,AngelAlyx
42,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,AngelAlyx
43,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,AngelAlyx
44,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,AngelAlyx
45,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,AngelAlyx
46,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,AngelAlyx
47,-1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
48,-1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,AngelAlyx
49,-1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,AngelAlyx
50,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,AngelAlyx
51,-1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,AngelAlyx
52,-1.0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,AngelAlyx
53,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,AngelAlyx
54,-1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,AngelAlyx
55,-1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,AngelAlyx
56,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,AngelAlyx
57,-1.0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,AngelAlyx
58,-1.0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,AngelAlyx
59,-1.0,1,0,-1,-1,0,0,0,0,0,1,0,-1,-1,0,AngelAlyx
60,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,AngelAlyx
61,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,-1,0,AngelAlyx
62,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,AngelAlyx
63,-1.0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,AngelAlyx
64,-1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,0,AngelAlyx
65,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,1,0,AngelAlyx
66,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,AngelAlyx
67,-1.0,-1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,AngelAlyx
68,-1.0,-1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,AngelAlyx
69,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,AngelAlyx
70,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,AngelAlyx
71,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
72,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,AngelAlyx
73,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,AngelAlyx
74,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,AngelAlyx
75,-1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,AngelAlyx
76,-1.0,-1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,AngelAlyx
77,-1.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
78,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,AngelAlyx
79,-1.0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,AngelAlyx
80,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,AngelAlyx
81,-1.0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,AngelAlyx
82,-1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,AngelAlyx
83,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,AngelAlyx
84,-1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,0,AngelAlyx
85,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,AngelAlyx
86,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,Anida
87,1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,Anida
88,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,Anida
89,1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0,0,Anida
90,1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,Anida
91,1.0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,Anida
92,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,Anida
93,1.0,1,1,1,1,0,0,0,0,0,0,-1,1,0,0,Anida
94,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,Anida
95,1.0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,Anida
96,1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,Anida
97,1.0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,Anida
98,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,1,0,Anida
99,1.0,-1,-1,0,-1,0,0,1,0,0,0,0,-1,-1,0,Anida
100,1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,1,0,Anida
101,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Anida
102,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,Anida
103,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Anida
104,1.0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,Anida
105,1.0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,Anida
106,1.0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,Anida
107,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,Anida
108,1.0,1,0,0,0,0,1,0,0,0,0,1,-1,1,0,Anida
109,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,Anida
110,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,Anida
111,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Anida
112,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,Anida
113,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anida
114,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Anida
115,1.0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,Anida
116,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Anida
117,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,Anida
118,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,Anida
119,1.0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,Anida
120,1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,Anida
121,1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,Anida
122,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,Anida
123,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,Anida
124,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,Anida
125,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,Anida
126,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,Anida
127,-1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,Anida
128,-1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,Anida
129,-1.0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,Anida
130,-1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Anida
131,-1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,Anida
132,-1.0,-1,-1,-1,0,-1,0,1,0,0,0,1,-1,0,0,Anida
133,-1.0,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,0,0,Anida
134,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,Anida
135,-1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,Anida
136,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,Anida
137,-1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,Anida
138,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,Anida
139,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,Anida
140,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,Anida
141,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,Anida
142,-1.0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,Anida
143,-1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,Anida
144,-1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,Anida
145,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,-1,0,Anida
146,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,1,0,Anida
147,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,Anida
148,-1.0,-1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,Anida
149,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,Anida
150,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,Anida
151,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anida
152,-1.0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,Anida
153,-1.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,Anida
154,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,Anida
155,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,Anida
156,-1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,Anida
157,-1.0,0,0,1,1,0,1,0,0,0,-1,0,0,0,0,Anida
158,-1.0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,Anida
159,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,Anida
160,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,CoryxKenshin
161,1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,CoryxKenshin
162,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,CoryxKenshin
163,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
164,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
165,1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,1,0,CoryxKenshin
166,1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,CoryxKenshin
167,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,CoryxKenshin
168,1.0,1,1,1,0,1,0,-1,0,0,0,-1,1,1,0,CoryxKenshin
169,1.0,1,1,1,0,1,0,-1,0,0,-1,0,1,-1,0,CoryxKenshin
170,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
171,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,1,0,CoryxKenshin
172,1.0,0,0,1,-1,1,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
173,1.0,0,0,-1,1,-1,0,1,0,0,1,0,-1,1,0,CoryxKenshin
174,1.0,-1,-1,0,-1,0,0,1,0,0,0,0,-1,0,0,CoryxKenshin
175,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,CoryxKenshin
176,1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,CoryxKenshin
177,1.0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,CoryxKenshin
178,1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,CoryxKenshin
179,1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,CoryxKenshin
180,1.0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,CoryxKenshin
181,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,CoryxKenshin
182,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,CoryxKenshin
183,1.0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
184,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,CoryxKenshin
185,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,CoryxKenshin
186,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,CoryxKenshin
187,1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,CoryxKenshin
188,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,CoryxKenshin
189,1.0,0,0,1,1,0,1,0,0,0,-1,1,0,1,0,CoryxKenshin
190,1.0,-1,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,CoryxKenshin
191,1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,1,0,CoryxKenshin
192,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,-1,0,CoryxKenshin
193,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,CoryxKenshin
194,1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
195,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CoryxKenshin
196,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,CoryxKenshin
197,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CoryxKenshin
198,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,CoryxKenshin
199,1.0,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,CoryxKenshin
200,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,CoryxKenshin
201,1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,CoryxKenshin
202,1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,CoryxKenshin
203,1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,CoryxKenshin
204,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,CoryxKenshin
205,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,CoryxKenshin
206,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CoryxKenshin
207,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,CoryxKenshin
208,1.0,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,CoryxKenshin
209,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CoryxKenshin
210,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,CoryxKenshin
211,1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,CoryxKenshin
212,1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,CoryxKenshin
213,1.0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,CoryxKenshin
214,1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,CoryxKenshin
215,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,CoryxKenshin
216,-1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,CoryxKenshin
217,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,CoryxKenshin
218,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,CoryxKenshin
219,-1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,CoryxKenshin
220,-1.0,1,1,1,1,0,-1,0,0,1,-1,0,0,-1,-1,CoryxKenshin
221,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,CoryxKenshin
222,-1.0,-1,-1,-1,0,-1,0,1,0,0,0,1,-1,0,0,CoryxKenshin
223,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
224,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
225,-1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,CoryxKenshin
226,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,-1,0,CoryxKenshin
227,-1.0,0,0,-1,1,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
228,-1.0,0,0,1,-1,1,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
229,-1.0,1,1,1,0,1,0,-1,0,0,-1,0,1,-1,0,CoryxKenshin
230,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,CoryxKenshin
231,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,CoryxKenshin
232,-1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,CoryxKenshin
233,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,CoryxKenshin
234,-1.0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,CoryxKenshin
235,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,CoryxKenshin
236,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
237,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,CoryxKenshin
238,-1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,CoryxKenshin
239,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,CoryxKenshin
240,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,0,0,CoryxKenshin
241,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,CoryxKenshin
242,-1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,CoryxKenshin
243,-1.0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,CoryxKenshin
244,-1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,CoryxKenshin
245,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,CoryxKenshin
246,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,CoryxKenshin
247,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,CoryxKenshin
248,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
249,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
250,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,CoryxKenshin
251,-1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,CoryxKenshin
252,-1.0,1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
253,-1.0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,CoryxKenshin
254,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,0,0,CoryxKenshin
255,-1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,CoryxKenshin
256,-1.0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
257,-1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,CoryxKenshin
258,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
259,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,CoryxKenshin
260,-1.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
261,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,CoryxKenshin
262,-1.0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,CoryxKenshin
263,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
264,-1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,CoryxKenshin
265,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,CoryxKenshin
266,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,0,0,CoryxKenshin
267,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,CoryxKenshin
268,-1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,CoryxKenshin
269,-1.0,1,1,1,1,0,-1,0,0,1,-1,0,0,-1,-1,CoryxKenshin
270,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,DeadMeat
271,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,DeadMeat
272,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,DeadMeat
273,1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,-1,0,DeadMeat
274,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,DeadMeat
275,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,DeadMeat
276,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,DeadMeat
277,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,1,0,DeadMeat
278,1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,-1,0,DeadMeat
